cell_line_name,genetic_feature,is_mutated
CAL-148,ARFGEF2_mut,0
CAL-148,ARID1A_mut,0
CAL-148,ARID1B_mut,0
CAL-148,ARID4B_mut,1
CAL-148,ASH1L_mut,0
CAL-148,ASPM_mut,0
CAL-148,ASXL2_mut,0
CAL-148,ATM_mut,0
CAL-148,ATR_mut,0
CAL-148,BAP1_mut,0
CAL-148,BNC2_mut,0
CAL-148,BRAF_mut,0
CAL-148,BRCA1_mut,0
CAL-148,BRCA2_mut,0
CAL-148,CDH1_mut,0
CAL-148,CHD4_mut,0
CAL-148,CHEK2_mut,0
CAL-148,CLSPN_mut,0
CAL-148,CTCF_mut,0
CAL-148,CUX1_mut,0
CAL-148,DHX15_mut,0
CAL-148,EIF4A2_mut,0
CAL-148,EP300_mut,0
CAL-148,FAT1_mut,0
CAL-148,FLT3_mut,0
CAL-148,FTSJD1_mut,0
CAL-148,GATA3_mut,0
CAL-148,KALRN_mut,0
CAL-148,KDM5C_mut,0
CAL-148,KDM6A_mut,0
CAL-148,KRAS_mut,0
CAL-148,LARP4B_mut,0
CAL-148,LPHN2_mut,0
CAL-148,MACF1_mut,0
CAL-148,MAP2K4_mut,0
CAL-148,MAP3K1_mut,0
CAL-148,MAX_mut,0
CAL-148,MECOM_mut,0
CAL-148,MED23_mut,0
CAL-148,MGA_mut,0
CAL-148,MLL_mut,0
CAL-148,MLL3_mut,0
CAL-148,MLLT4_mut,0
CAL-148,MYH9_mut,0
CAL-148,NF1_mut,0
CAL-148,NF2_mut,0
CAL-148,NSD1_mut,0
CAL-148,NUP98_mut,0
CAL-148,PIK3CA_mut,1
CAL-148,PIK3R1_mut,0
CAL-148,POLR2B_mut,0
CAL-148,PTEN_mut,1
CAL-148,SACS_mut,0
CAL-148,SMARCA4_mut,0
CAL-148,STAG2_mut,0
CAL-148,SVEP1_mut,0
CAL-148,TCF12_mut,0
CAL-148,TP53_mut,1
CAL-148,TRIO_mut,0
CAL-148,ZFP36L1_mut,0
CAL-51,AHNAK_mut,1
CAL-51,AKAP9_mut,0
CAL-51,APC_mut,0
CAL-51,ARFGEF2_mut,0
CAL-51,ARID1A_mut,1
CAL-51,ARID1B_mut,0
CAL-51,ARID4B_mut,0
CAL-51,ASH1L_mut,1
CAL-51,ASPM_mut,0
