Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Crizotinib,37,MRK-nu-1,908151,BRCA,breast,breast,2.42987976467423,0.962341740160486,2,0.066221053450236,-0.036817065969237,GDSC1
Crizotinib,37,OCUB-M,909256,BRCA,breast,breast,2.017163488775,0.974558712510357,2,0.049467788351445,-0.411103097694087,GDSC1
Crizotinib,37,UACC-812,910910,BRCA,breast,breast,3.46312098288662,0.984751131867216,2,0.020851442513802,0.90021347525829,GDSC1
Crizotinib,37,MFM-223,910948,BRCA,breast,breast,3.5105727079996,0.982695343216453,2,0.053170503055745,0.943246713655144,GDSC1
Crizotinib,37,CAL-148,924106,BRCA,breast,breast,2.56422154153394,0.982124009953637,2,0.050822568725915,0.085015421606236,GDSC1
Crizotinib,37,BT-474,946359,BRCA,breast,breast,3.65781348952644,0.982554734257507,2,0.039139021168715,1.07677710982301,GDSC1
Crizotinib,37,HCC1500,1303900,BRCA,breast,breast,2.70827926570196,0.973563836287922,2,0.071786315214578,0.215659152098039,GDSC1
Saracatinib,38,HCC1187,749711,BRCA,breast,breast,2.63415623776277,0.983740597669957,2,0.039834394133863,0.30922875151918,GDSC1
Saracatinib,38,HCC1599,749713,BRCA,breast,breast,1.70848397106996,0.942576107434007,2,0.15237997932247,-0.478922020048197,GDSC1
Saracatinib,38,HCC2157,749715,BRCA,breast,breast,3.10276000216155,0.981363016900004,2,0.022148584793008,0.708214906510939,GDSC1
Saracatinib,38,HCC2218,749716,BRCA,breast,breast,3.28147621555572,0.959593390093067,2,0.060139706217151,0.860380339727879,GDSC1
Saracatinib,38,COLO-824,906812,BRCA,breast,breast,3.42818973223315,0.98525734459235,2,0.046705738277374,0.985297522114475,GDSC1
Saracatinib,38,DU-4475,906844,BRCA,breast,breast,3.07691436743905,0.992797741350833,2,0.086158832918573,0.686209000445542,GDSC1
Saracatinib,38,EVSA-T,906862,BRCA,breast,breast,2.12432760245824,0.972517554298492,2,0.014592532207545,-0.124857746197792,GDSC1
Saracatinib,38,MRK-nu-1,908151,BRCA,breast,breast,3.01135134054836,0.976849599678762,2,0.100767227928235,0.630386273450809,GDSC1
Saracatinib,38,OCUB-M,909256,BRCA,breast,breast,2.28895184401857,0.981416865400071,2,0.066355265382293,0.015309273678508,GDSC1
Saracatinib,38,UACC-812,910910,BRCA,breast,breast,1.31657858652097,0.911643138450521,2,0.144629073430118,-0.812604406706759,GDSC1
Saracatinib,38,MFM-223,910948,BRCA,breast,breast,3.80655917980742,0.98647926016684,2,0.042750611562523,1.30745492357646,GDSC1
Saracatinib,38,CAL-148,924106,BRCA,breast,breast,2.81295991120429,0.986339719160998,2,0.071917545260878,0.4614686513765,GDSC1
Saracatinib,38,BT-474,946359,BRCA,breast,breast,2.96086936663426,0.969779030655353,2,0.037378139899017,0.587404099173519,GDSC1
Saracatinib,38,HCC1500,1303900,BRCA,breast,breast,3.18937487693087,0.982788573114998,2,0.104585385521646,0.781961936464152,GDSC1
S-Trityl-L-cysteine,41,HCC1187,749711,BRCA,breast,breast,-0.132995218323537,0.663906652845817,5.12,0.120017099817458,-0.99760798186616,GDSC1
S-Trityl-L-cysteine,41,HCC1599,749713,BRCA,breast,breast,0.348923489406837,0.725336361846282,5.12,0.048853530526825,-0.675550499944369,GDSC1
S-Trityl-L-cysteine,41,HCC2157,749715,BRCA,breast,breast,2.12279015008457,0.907226587231317,5.12,0.055041548628326,0.509892233111999,GDSC1
S-Trityl-L-cysteine,41,HCC2218,749716,BRCA,breast,breast,1.54746615772973,0.8156918544695,5.12,0.075825591942504,0.125413703237918,GDSC1
S-Trityl-L-cysteine,41,COLO-824,906812,BRCA,breast,breast,2.84417195847611,0.945562961876861,5.12,0.078706802921194,0.991978537270901,GDSC1
S-Trityl-L-cysteine,41,DU-4475,906844,BRCA,breast,breast,0.068805532302813,0.699686198795151,5.12,0.082428090198665,-0.862748221175958,GDSC1
S-Trityl-L-cysteine,41,EVSA-T,906862,BRCA,breast,breast,0.638122625062632,0.778182684685283,5.12,0.125211178009327,-0.482283992732174,GDSC1
S-Trityl-L-cysteine,41,MRK-nu-1,908151,BRCA,breast,breast,1.16538512900236,0.816821367112981,5.12,0.296466780711112,-0.129924078898712,GDSC1
